gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KCNN4,1240.5507071142792,3.836883667053864,0.3783282623294391,10.141678666641083,3.6084467404831414e-24,4.048252719676146e-21
CLIC5,8327.119393099842,-3.732657285278786,0.368529921481169,-10.128505360641432,4.129125733418239e-24,4.375038110430703e-21
RASAL1,261.44562074578323,4.538837965301842,0.4504928369813092,10.075272219012346,7.106373482084991e-24,7.133302897385523e-21
RP11-371A19.2,54.446872672242435,-5.168046571396429,0.5162905871130118,-10.0099569901033,1.3781244101077868e-23,1.3141794374787855e-20
PTPN21,2327.218173435271,-2.5277708991454193,0.25380844507264744,-9.959364821063764,2.2952441096704674e-23,2.0845188409350073e-20
CLEC3B,2091.7401662103844,-4.223741559985247,0.4294719044071234,-9.834733114418812,7.97788522834455e-23,6.916101230681239e-20
CTD-2135D7.5,38.213414652339985,-3.3661702213046985,0.3434857526231769,-9.800028663772776,1.1255370207311486e-22,9.333148721471507e-20
FAM83A,2565.8501080735414,6.377845160648044,0.6514036243113625,9.79092673515663,1.2316180339285747e-22,9.78725797628574e-20
PTPRH,490.58360589255125,6.130422509854759,0.6281505279595831,9.759479992428194,1.680144867393248e-22,1.281748916436961e-19
CCM2L,277.8036761832579,-2.5396255529461134,0.2605515333574021,-9.747114208928773,1.897865214644416e-22,1.392157129757627e-19
PYCR1,1977.6414918704133,3.2887233118433574,0.3375739302188762,9.742231308297459,1.9913304808633556e-22,1.406616849297256e-19
USHBP1,217.6964753367382,-2.3456593893372877,0.24125658334121677,-9.722675157095082,2.413556424517296e-22,1.6439767188712096e-19
SLC6A4,2774.94011733558,-7.255245909773242,0.7662568488759065,-9.4684255291377,2.8409337504151524e-21,1.868354775445441e-18
AGER,40782.513998819275,-5.454371141710946,0.5815808435270019,-9.378526136852903,6.690133735722596e-21,4.253141020256712e-18
AC093110.3,233.28884326167486,-3.622738045253042,0.3875191235498546,-9.348540046403604,8.886585093938078e-21,5.4672564810189364e-18
AC011899.9,298.01007804851076,-2.314200607735803,0.25117041104644744,-9.213667318909836,3.15168861157944e-20,1.8784064125013463e-17
B3GNT3,1037.2125062846446,4.210721800970532,0.458393189653656,9.185829754914092,4.083666590785733e-20,2.3601117945292577e-17
DENND3,3096.1251596217126,-1.9943985651123357,0.2189119492447401,-9.110505716993226,8.199884486841641e-20,4.599652850971876e-17
ARHGAP40,195.48856284739256,4.2079463308323035,0.46548691157176186,9.03988109273312,1.5684233210826962e-19,8.546562737054053e-17
RALGPS2,1183.5740351842885,2.052741618599962,0.2271603117153574,9.036532848097798,1.6171977756599708e-19,8.567554438163046e-17
CADM1,6658.80907342683,-2.3349865764575086,0.2591071836670747,-9.011662831616892,2.0295547510548294e-19,1.0461531949221002e-16
ARHGEF15,1022.6013203107907,-2.4401990461977614,0.2709630620400291,-9.005652017016523,2.1438805279059145e-19,1.0760023533742526e-16
SCUBE1,791.2844777843964,-3.804135643458077,0.42338932911997246,-8.984958717228627,2.58831449461132e-19,1.265752154903259e-16
COL11A1,1659.6337900373296,6.808393456685411,0.758490226762042,8.97624414456876,2.801672825148741e-19,1.3358376030309198e-16
FREM3,76.1491462246505,-5.084947944556093,0.5687686151182586,-8.940275200485225,3.88202392116831e-19,1.805803907915171e-16
ADAMTS7P3,171.29027872723168,-4.815296133995516,0.5402035807866871,-8.913854526812099,4.928848190758782e-19,2.2381664927178925e-16
SLC2A1,3767.352477292532,3.5271987198263806,0.3970039562077616,8.88454299931589,6.418405995685528e-19,2.846786956970102e-16
ERG,1563.2633817332521,-2.1456270973259537,0.24272535256561348,-8.839732127882884,9.594836591311312e-19,4.158925533397485e-16
CA9,280.62962565732397,5.616246798413911,0.6388261513798099,8.791510470075933,1.4756247076534627e-18,6.254025427637075e-16
CA4,842.1135389057735,-5.360492010288352,0.6125366456591501,-8.751300103065558,2.1090867445780455e-18,8.744457041867932e-16
GPD1,1263.192031323825,-3.9523843770960916,0.45242168393933285,-8.736063096449824,2.413751879137052e-18,9.794696987000394e-16
ANKRD1,1471.4762027731106,-5.113386498585338,0.5855140568454533,-8.733157537044441,2.476597675670605e-18,9.84034809799787e-16
WWC2,3816.9570244507267,-2.354624884181398,0.2701764008401936,-8.715138986451052,2.904021700931462e-18,1.1303163649013232e-15
